UII,HEI NAME,TYPE,PNSL-Q,PNSL-V,LIST-Q,LIST-V,LIST-D,4Ps-Q,4Ps-V,ES-O,ES-V,TD,TD-V,TD-D, 
1002,The Adelphi College,PHEI,,,,,,,,,,,,,
1003,Malasiqui Agno Valley College,PHEI,,,,,,,,,,,,,
1005,Asbury College,PHEI,,,,,,,,,,,,,
1006,Asiacareer College Foundation,PHEI,,,,,,,,,,,,,
1007,Bacarra Medical Center School of Midwifery,PHEI,,,,,,,,,,,,,
1012,CICOSAT Colleges,PHEI,,,,,,,,,,,,,
1014,Universidad de dagupan,PHEI,,,,,,,,,,,,,
1016,Dagupan Colleges Foundation,PHEI,,,,,,,,,,,,,
1017,Data Center College of the Philippines of Laoag City,PHEI,,,,,,,,,,,,,
1018,Divine Word College of Laoag,PHEI,,,,,,,,,,,,,
1019,Divine Word College of Urdaneta,PHEI,,,,,,,,,,,,,
1020,Divine Word College of Vigan,PHEI,,,,,,,,,,,,,
1021,Don Mariano Marcos Memorial State University-South La Union,SUC,,,,,,,,,,,,,
1023,Don Mariano Marcos Memorial State University-Mid La Union,SUC,,,,,,,,,,,,,
01023a,Don Mariano Marcos Memorial State University-Open University,SUC,,,,,,,,,,,,,
1026,Don Mariano Marcos Memorial State University-North La Union-Main Campus,SUC,,,,,,,,,,,,,
1029,The Great Plebeian College,PHEI,,,,,,,,,,,,,
1031,Ilocos Sur Polytechnic State College,SUC,,,,,,,,,,,,,
1032,Ilocos Sur Community College,LUC,,,,,,,,,,,,,
1034,Lorma Colleges,PHEI,,,,,,,,,,,,,
1035,Luna Colleges,PHEI,,,,,,,,,,,,,
1036,University of Luzon,PHEI,,,,,,,,,,,,,
1037,Lyceum Northern Luzon,PHEI,,,,,,,,,,,,,
1040,Mariano Marcos State University-Main,SUC,,,,,,,,,,,,,
1041,Mary Help of Christians College Seminary,PHEI,,,,,,,,,,,,,
1043,Mariano Marcos State University-College of Aquatic Sciences and Applied Technology,SUC,,,,,,,,,,,,,
1044,Mariano Marcos State University-College of Agriculture and Forestry-Dingras,SUC,,,,,,,,,,,,,
1045,Mariano Marcos State University-College of Teacher Education-Laoag City,SUC,,,,,,,,,,,,,
1046,Mariano Marcos State University-College of Industrial Technology-Laoag City,SUC,,,,,,,,,,,,,
1048,Northern Christian College,PHEI,,,,,,,,,,,,,
1050,Northern Luzon Adventist College,PHEI,,,,,,,,,,,,,
1051,"Northern Philippines College for Maritime, Science and Technology",PHEI,,,,,,,,,,,,,
1052,Northwestern University,PHEI,,,,,,,,,,,,,
1053,Osias Educational Foundation,PHEI,,,,,,,,,,,,,
1054,Palaris College,PHEI,,,,,,,,,,,,,
1055,Panpacific University North Philippines-Urdaneta City,PHEI,,,,,,,,,,,,,
1057,Pangasinan Merchant Marine Academy,PHEI,,,,,,,,,,,,,
1058,Pangasinan State University,SUC,,,,,,,,,,,,,
01058a,Pangasinan State University-Open University,SUC,,,,,,,,,,,,,
01058b,Pangasinan State University-Alaminos City,SUC,,,,,,,,,,,,,
1059,Perpetual Help College of Pangasinan,PHEI,,,,,,,,,,,,,
1060,Polytechnic College of La union,PHEI,,,,,,,,,,,,,
1061,Philippine College of Science and Technology,PHEI,,,,,,,,,,,,,
1062,PIMSAT Colleges-Dagupan,PHEI,,,,,,,,,,,,,
1064,Pangasinan State University-Asingan,SUC,,,,,,,,,,,,,
1065,Pangasinan State University-Bayambang,SUC,,,,,,,,,,,,,
1066,Pangasinan State University-Binmaley,SUC,,,,,,,,,,,,,
1067,Pangasinan State University-Infanta,SUC,,,,,,,,,,,,,
1068,Pangasinan State University-San Carlos City,SUC,,,,,,,,,,,,,
1069,Pangasinan State University-Sta. Maria,SUC,,,,,,,,,,,,,
1070,Pangasinan State University-Urdaneta City,SUC,,,,,,,,,,,,,
1073,Saint Columban's College,PHEI,,,,,,,,,,,,,
1074,Saint Louis College-City of San Fernando,PHEI,,,,,,,,,,,,,
1075,"Saint Mary's College Sta. Maria, Ilocos Sur",PHEI,,,,,,,,,,,,,
1076,Saint Paul College of Ilocos Sur,PHEI,,,,,,,,,,,,,
1077,San Carlos College,PHEI,,,,,,,,,,,,,
1078,Sea and Sky College,PHEI,,,,,,,,,,,,,
1079,Union Christian College,PHEI,,,,,,,,,,,,,
1080,University of Northern Philippines,SUC,,,,,,,,,,,,,
1081,University of Pangasinan,PHEI,,,,,,,,,,,,,
1082,North Luzon Philippines State College,SUC,,,,,,,,,,,,,
1083,NJ Valdez Colleges Foundation,PHEI,,,,,,,,,,,,,
1084,Urdaneta City University,LUC,,,,,,,,,,,,,
1086,Virgen Milagrosa University Foundation,PHEI,,,,,,,,,,,,,
1088,Ilocos Sur Polytechnic State College-College of Engineering and Technology-Santiago,SUC,,,,,,,,,,,,,
1089,Ilocos Sur Polytechnic State College-College of Arts and Sciences-Tagudin,SUC,,,,,,,,,,,,,
1090,Ilocos Sur Polytechnic State College-College of Fisheries and Marine Sciences-Narvacan,SUC,,,,,,,,,,,,,
1091,Ilocos Sur Polytechnic State College-Cervantes,SUC,,,,,,,,,,,,,
1094,Ilocos Sur Polytechnic State College-Candon,SUC,,,,,,,,,,,,,
1098,Metro-Dagupan Colleges,PHEI,,,,,,,,,,,,,
1100,Pass College,PHEI,,,,,,,,,,,,,
1101,AMA Computer College-Dagupan City,PHEI,,,,,,,,,,,,,
1102,AMA Computer College-Laoag City,PHEI,,,,,,,,,,,,,
1103,Lyceum Northwestern University,PHEI,,,,,,,,,,,,,
1104,Macro Colleges,PHEI,,,,,,,,,,,,,
1105,Sta. Veronica College,PHEI,,,,,,,,,,,,,
1106,STI College-San Fernando City,PHEI,,,,,,,,,,,,,
1107,Systems Technology Institute (STI) College-Dagupan City,PHEI,,,,,,,,,,,,,
1108,AMA Computer College-La Union,PHEI,,,,,,,,,,,,,
1109,Golden West Colleges,PHEI,,,,,,,,,,,,,
1110,Lyceum Northwestern University-Urdaneta Campus,PHEI,,,,,,,,,,,,,
1111,Data Center College of the Philippines-Vigan City,PHEI,,,,,,,,,,,,,
1113,Colegio San Jose De Alaminos,PHEI,,,,,,,,,,,,,
1114,Colegio De San Juan De Letran-Manaoag,PHEI,,,,,,,,,,,,,
